ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
196,37.958362,23.7037619,50,ΚΑΛΛΙΘΕΑΣ,5/8,ΑΡΑΠΑΚΗ 50  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17676,ΑΡΑΠΑΚΗ,5 ΓΥΜΝΑΣΙΟ,ΚΑΛΛΙΘΕΑ,17676.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21376,89",118.0,92.0
197,37.9863365,23.735875,48,ΑΘΗΝΑΙΩΝ,1,ΑΡΑΧΩΒΗΣ 48  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10681,ΑΡΑΧΩΒΗΣ,5 ΓΥΜΝΑΣΙΟ,ΕΞΑΡΧΕΙΑ,10681.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"27441,4",93.0,80.0
198,37.9059505,23.7536675,34,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΑΡΓΟΝΑΥΤΩΝ 34  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΑΡΓΟΝΑΥΤΩΝ,4 ΓΥΜΝΑΣΙΟ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",0.0,0.0
199,39.074208,21.824312,8,ΕΛΛΗΝΙΚΟΥ,5/8,ΑΡΓΟΝΑΥΤΩΝ 8 Α Δήμος ΕΛΛΗΝΙΚΟΥ ΤΚ 16777,ΑΡΓΟΝΑΥΤΩΝ,6 ΝΗΠΙΑΓΩΓΕΙΟ ΕΛΛΗΝΙΚΟΥ,ΣΟΥΡΜΕΝΑ,16777.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26186,92",14.0,18.0
200,37.9231674,23.7285606,53,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΡΓΟΣΤΟΛΙΟΥ 53  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΑΡΓΟΣΤΟΛΙΟΥ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΑΓΡΙΛΙΟΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",0.0,0.0
201,37.9228918,23.7285339,55,ΑΓ. ΔΗΜΗΤΡΙΟΥ,,ΑΡΓΟΣΤΟΛΙΟΥ 55  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΑΡΓΟΣΤΟΛΙΟΥ,ΣΧ.ΕΠ.Α/ΘΜΙΑΣ ΕΚ.20-ΔΗΜΟΤΙΚΟ,ΑΓΡΙΛΙΟΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",127.0,128.0
202,37.9225672,23.7282526,65,ΑΓ. ΔΗΜΗΤΡΙΟΥ,2,ΑΡΓΟΣΤΟΛΙΟΥ 65  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΑΡΓΟΣΤΟΛΙΟΥ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΑΓΡΙΛΙΟΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",0.0,0.0
203,37.9209077,23.7276014,82,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΡΓΟΣΤΟΛΙΟΥ 82  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΑΡΓΟΣΤΟΛΙΟΥ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΑΓΡΙΛΙΟΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",0.0,0.0
204,38.0245961,23.8273806,1,ΧΑΛΑΝΔΡΙΟΥ,1,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 1 Α Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15234,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,5 ΝΗΠΙΑΓ. ΣΧ.ΕΠ. Α/ΜΙΑΣ ΕΚΠ/ΣΗΣ,ΧΑΛΑΝΔΡΙ,15234.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30724,33",32.0,45.0
205,37.9516788,23.6884237,10,ΚΑΛΛΙΘΕΑΣ,5/8,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 10  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17675,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,25 ΝΗΠ/ΓΕΙΟ-27 ΝΗΠ/ΓΕΙΟ,ΤΖΙΤΖΙΦΙΕΣ,17675.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"20793,77",11.0,12.0
206,37.9512967,23.6887353,11,ΚΑΛΛΙΘΕΑΣ,1.5,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 11  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17675,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,12 ΔΗΜΟΤΙΚΟ-9 ΝΗΠΙΑΓ,ΤΖΙΤΖΙΦΙΕΣ,17675.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"20793,77",0.0,0.0
207,37.9619362,23.6557765,37,ΠΕΙΡΑΙΩΣ,,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 37  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18542,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,31 ΝΗΠΙΑΓΩΓΕΙΟ,Π. ΚΟΚΚΙΝΙΑ,18542.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"17908,94",28.5,18.0
208,38.0400393,23.7021769,49,ΙΛΙΟΥ,5/8,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 49  Δήμος ΙΛΙΟΥ ΤΚ 13123,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,18 ΝΗΠΙΑΓΩΓΕΙΟ,ΜΙΧΕΛΗ,13123.0,ΙΛΙΟΥ,83523.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21002,37",21.0,28.0
209,38.0223729,23.686998,8,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 8  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12135,ΑΡΓΥΡΟΚΑΣΤΡΟΥ,9 ΓΥΜΝΑΣΙΟ,ΑΝΘΟΥΠΟΛΗ,12135.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,18533,169.0,153.0
210,37.9084432999999,23.7539394,23,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΑΡΓΥΡΟΥΠΟΛΕΩΣ 23  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,2 ΕΚ Δ ΑΘΗΝΑΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",0.0,0.0
211,37.91078,23.7541493,53,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΑΡΓΥΡΟΥΠΟΛΕΩΣ 53  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,8 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",81.0,77.0
212,37.8807941,23.7647823,1,ΓΛΥΦΑΔΑΣ,1,ΑΡΕΤΗΣ 1  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16561,ΑΡΕΤΗΣ,5 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΑΡΒΕΛΑΣ,16561.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25976,81",34.0,20.0
213,37.9066351,23.7578579,35,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΑΡΙΣΤΑΡΧΟΥ 35  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΡΙΣΤΑΡΧΟΥ,13 ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",18.0,14.0
214,37.9070788,23.7579477,41,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΑΡΙΣΤΑΡΧΟΥ 41  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΡΙΣΤΑΡΧΟΥ,4 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",127.0,139.0
215,37.9678805,23.7075474,12,ΑΘΗΝΑΙΩΝ,5/8,ΑΡΙΣΤΟΒΟΥΛΟΥ 12  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11853,ΑΡΙΣΤΟΒΟΥΛΟΥ,96 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ,11853.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18992,49",20.0,21.0
216,37.9997661,23.7241028,101,ΑΘΗΝΑΙΩΝ,2,ΑΡΙΣΤΟΜΕΝΟΥΣ 101  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10446,ΑΡΙΣΤΟΜΕΝΟΥΣ,50 ΔΗΜΟΤΙΚΟ - 65 & 92 ΝΗΠ/ΓΕΙΟ,ΑΓ. ΜΕΛΕΤΙΟΥ,10446.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"16282,46",142.0,144.0
217,37.9408604,23.6436521,4,ΠΕΙΡΑΙΩΣ,5/8,ΑΡΙΣΤΟΤΕΛΟΥΣ 4  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18535,ΑΡΙΣΤΟΤΕΛΟΥΣ,38 ΔΗΜΟΤ ΣΧΟΛΕΙΟ,ΤΕΡΨΙΘΕΑ,18535.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"32236,49",71.0,56.0
218,37.9911823,23.7283986,55,ΑΘΗΝΑΙΩΝ,5/8,ΑΡΙΣΤΟΤΕΛΟΥΣ 55  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10433,ΑΡΙΣΤΟΤΕΛΟΥΣ,32 ΔΗΜΟΤΙΚΟ ΚΑΙ 31 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,10433.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"28705,26",11.0,9.0
219,38.1359052,23.7535855,7,ΚΟΙΝ. ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,5/8,ΑΡΙΣΤΟΤΕΛΟΥΣ 7  Δήμος ΚΟΙΝ. ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ ΤΚ 13676,ΑΡΙΣΤΟΤΕΛΟΥΣ,3 ΝΗΠΙΑΓΩΓΕΙΟ ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"39024,77",13.0,23.0
220,37.9357210999999,23.7295198,9,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1.5,ΑΡΙΣΤΟΤΕΛΟΥΣ 9  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17236,ΑΡΙΣΤΟΤΕΛΟΥΣ,7 ΔΗΜ. ΣΧΟΛΕΙΟ Δ. ΥΜΗΤΤΟΥ,ΑΓ. ΔΗΜΗΤΡΙΟΣ,17236.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22653,43",0.0,0.0
221,37.9994545,23.8064325,98,ΧΟΛΑΡΓΟΥ,1,ΑΡΙΣΤΟΤΕΛΟΥΣ 98 Ξ Δήμος ΧΟΛΑΡΓΟΥ ΤΚ 15562,ΑΡΙΣΤΟΤΕΛΟΥΣ,ΛΥΚΕΙΟ,ΧΟΛΑΡΓΟΣ,15562.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29439,26",122.0,126.0
222,37.9663041,23.5788815,32,ΠΕΡΑΜΑΤΟΣ,1,ΑΡΙΣΤΟΦΑΝΟΥΣ 32  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,ΑΡΙΣΤΟΦΑΝΟΥΣ,8 ΔΗΜΟΤΙΚΟ,ΜΠΛΑΖΑΚΗ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",69.0,63.0
223,38.018858,23.7999343,42,ΧΑΛΑΝΔΡΙΟΥ,5/8,ΑΡΙΣΤΟΦΑΝΟΥΣ 42  Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15232,ΑΡΙΣΤΟΦΑΝΟΥΣ,1 ΝΗΠΙΑΓ. ΣΧ.ΕΠ. Α/ΜΙΑΣ ΕΚΠ/ΣΗΣ,ΚΑΤΩ ΧΑΛΑΝΔΡΙ,15232.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29053,17",65.0,51.0
224,37.9512508,23.7528027,1,ΥΜΗΤΤΟΥ,1.5,ΑΡΚΑΔΙΟΥ 1  Δήμος ΥΜΗΤΤΟΥ ΤΚ 17237,ΑΡΚΑΔΙΟΥ, 3 ΓΥΜ 3 ΓΕΝ ΛΥΚ ΥΜΗ,ΥΜΗΤΤΟΣ,17237.0,ΔΑΦΝΗΣ – ΥΜΗΤΤΟΥ,33850.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21914,74",0.0,0.0
225,38.0507974,23.5288824,13,ΕΛΕΥΣΙΝΟΣ,5/8,ΑΡΚΑΔΙΟΥ 13 Ξ Δήμος ΕΛΕΥΣΙΝΟΣ ΤΚ 19200,ΑΡΚΑΔΙΟΥ,"4Ο,5Ο & ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ",ΕΛΕΥΣΙΝΑ,19200.0,ΕΛΕΥΣΙΝΑΣ,29619.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"21516,82",132.0,142.0
226,38.0535534,23.7360656,15,ΑΧΑΡΝΩΝ,2,ΑΡΚΑΔΙΟΥ ΚΡΗΤΗΣ 15  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13671,ΑΡΚΑΔΙΟΥ ΚΡΗΤΗΣ,3 ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ,ΛΥΚΟΤΡΥΠΑ,13671.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"18548,71",95.0,90.0
227,37.9230316,23.7156632,9,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,5/8,ΑΡΜΑΤΩΛΩΝ 9  Δήμος ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ ΤΚ 17563,ΑΡΜΑΤΩΛΩΝ,,ΑΓ. ΒΑΡΒΑΡΑ,17563.0,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,64879.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25432,22",110.0,118.0
228,37.9644313,23.6509956,11,ΝΙΚΑΙΑΣ,,ΑΡΜΕΝΙΩΝ ΠΡΟΣΚΟΠΩΝ 11  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18450,ΑΡΜΕΝΙΩΝ ΠΡΟΣΚΟΠΩΝ,8 ΔΗΜΟΤΙΚΟ ΝΙΚΑΙΑΣ,ΓΕΦΥΡΑ,18450.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"17583,36",104.0,124.0
229,37.7358513,23.6204644,50,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΡΣΑΚΕΙΟΥ 50 Ξ Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΡΣΑΚΕΙΟΥ,6 ΛΥΚΕΙΟ,ΣΑΡΩΝΙΚΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",0.0,0.0
230,37.7358513,23.6204644,56,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΡΣΑΚΕΙΟΥ 56 Ξ Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΡΣΑΚΕΙΟΥ,6 ΓΥΜΝΑΣΙΟ,ΣΑΡΩΝΙΚΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",0.0,0.0
231,37.9357210999999,23.7295198,20,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΡΣΙΝΟΗΣ 20  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΡΣΙΝΟΗΣ,ΣΧ.ΕΠ.Α/ΘΜΙΑΣ ΕΚΠ.1 ΝΗΠ.ΟΛΟΗΜ.,ΑΓ. ΔΗΜΗΤΡΙΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",61.0,18.0
232,37.9994796,23.7940593,61,ΧΟΛΑΡΓΟΥ,,ΑΡΤΕΜΙΔΟΣ 61  Δήμος ΧΟΛΑΡΓΟΥ ΤΚ 15561,ΑΡΤΕΜΙΔΟΣ,5 ΝΗΠΙΑΓΩΓΕΙΟ ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΣ,15561.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30451,95",31.0,35.0
233,38.0394081,23.7272925,4,ΑΓ. ΑΝΑΡΓΥΡΩΝ,5/8,ΑΡΤΗΣ 4  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13562,ΑΡΤΗΣ,4 ΓΥΜΝΑΣΙΟ ΑΓ ΑΝΑΡΓΥΡΩΝ,ΑΝΑΚΑΣΑ,13562.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20321,38",119.0,120.0
234,40.6228453,23.5628922,16,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,5/8,ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣ. 16  Δήμος ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ ΤΚ 14342,ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣ.,1Η ΣΧΟΛ ΕΠΙΤΡ Α/ΜΙΑΣ ΕΚΠΑΙΔ.Δ.ΦΙΛ/ΦΕΙΑΣ-Ν.ΧΑΛΚΗΔΟΝ ,ΝΕΑ ΜΑΔΥΤΟΣ,14342.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21269,33",0.0,0.0
235,38.002509,23.6713558,15,ΑΙΓΑΛΕΩ,5/8,ΑΡΧΙΜΗΔΟΥΣ 15  Δήμος ΑΙΓΑΛΕΩ ΤΚ 12243,ΑΡΧΙΜΗΔΟΥΣ,6 ΝΗΠΙΑΓΩΓΕΙΟ,ΛΙΟΥΜΗ,12243.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20051,91",17.0,21.0
236,37.8703084,23.7636296,16,ΓΛΥΦΑΔΑΣ,5/8,ΑΡΧΙΜΗΔΟΥΣ 16  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16674,ΑΡΧΙΜΗΔΟΥΣ,ΤΕΕ ΓΛΥΦΑΔΑΣ,ΚΑΡΒΕΛΑΣ,16674.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"33421,32",0.0,0.0
237,38.0184671,23.6954266,29,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΑΡΧΙΜΗΔΟΥΣ 29  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12134,ΑΡΧΙΜΗΔΟΥΣ,16 ΓΥΜΝΑΣΙΟ,ΠΕΡΙΣΤΕΡΙ,12134.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21029,84",140.0,99.0
238,38.00873,23.8305967,32,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5/8,ΑΣΗΜΑΚΟΠΟΥΛΟΥ 32  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15342,ΑΣΗΜΑΚΟΠΟΥΛΟΥ,5Ο ΚΑΙ 9Ο ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΠΑΡΑΣΚΕΥΗ,15342.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"34271,67",21.0,23.0
239,38.0631284,23.7703104,0,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,1.5,ΑΣΚΛΗΠΙΟΥ 0  Δήμος ΜΕΤΑΜΟΡΦΩΣΕΩΣ ΤΚ 14452,ΑΣΚΛΗΠΙΟΥ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΜΕΤΑΜΟΡΦΩΣΗ,14452.0,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,30170.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"23711,54",0.0,0.0
240,37.9881879,23.7477775,150,ΑΘΗΝΑΙΩΝ,5/8,ΑΣΚΛΗΠΙΟΥ 150  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11471,ΑΣΚΛΗΠΙΟΥ,46 ΓΥΜΝΑΣΙΟ,ΚΕΝΤΡΟ,11471.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"26611,65",96.0,89.0
241,37.9882377,23.7474547,183,ΑΘΗΝΑΙΩΝ,5/8,ΑΣΚΛΗΠΙΟΥ 183  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11471,ΑΣΚΛΗΠΙΟΥ,46 ΓΥΜΝΑΣΙΟ,ΚΕΝΤΡΟ,11471.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"26611,65",96.0,89.0
242,37.8501763,23.7628284,63,ΒΟΥΛΑΣ,1/2,ΑΣΚΛΗΠΙΟΥ 63 Ξ Δήμος ΒΟΥΛΑΣ ΤΚ 16673,ΑΣΚΛΗΠΙΟΥ,2 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ  ΒΟΥΛΑΣ,ΒΟΥΛΑ,16673.0,ΒΑΡΗΣ – ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,50585.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"40717,48",154.0,159.0
243,37.953516,23.7271043,2,ΑΘΗΝΑΙΩΝ,5/8,ΑΣΠΡΟΓΕΡΑΚΑ 2  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11744,ΑΣΠΡΟΓΕΡΑΚΑ,43 ΓΥΜΝΑΣΙΟ - 43 ΓΕΛ,ΝΕΟΣ ΚΟΣΜΟΣ,11744.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"19883,9",0.0,0.0
244,37.9807283,23.7739102,28,ΖΩΓΡΑΦΟΥ,5/8,ΑΣΤΕΡΙΟΥ 28  Δήμος ΖΩΓΡΑΦΟΥ ΤΚ 15773,ΑΣΤΕΡΙΟΥ,,ΖΩΓΡΑΦΟΥ,15773.0,ΖΩΓΡΑΦΟΥ,69857.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23070,13",71.0,73.0
